model_id,country_iso3,pilot_id,slot_id,domain,task,language,replicate_idx,venue,latency_ms,prompt_tokens,response_tokens,finish_reason,primary_task_score,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,composite
gpt5_mini,IND,IND_P02,P02,D3,T1,en,1,openai_paid,12852,45,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,IND,IND_P03,P03,D1,T2,en,0,openai_paid,12756,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,IND,IND_P03,P03,D1,T2,en,1,openai_paid,13325,44,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,IND,IND_P04,P04,D2,T2,en,0,openai_paid,16205,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,IND,IND_P04,P04,D2,T2,en,1,openai_paid,10951,60,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,IND,IND_P05,P05,D1,T3,en,0,openai_paid,12349,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,IND,IND_P05,P05,D1,T3,en,1,openai_paid,12103,45,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,IND,IND_P06,P06,D3,T3,en,0,openai_paid,14621,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,IND,IND_P06,P06,D3,T3,en,1,openai_paid,11295,48,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,IND,IND_P07,P07,D1,T4,en,0,openai_paid,15588,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,IND,IND_P07,P07,D1,T4,en,1,openai_paid,14097,57,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,IND,IND_P08,P08,D3,T4,en,0,openai_paid,16113,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,IND,IND_P08,P08,D3,T4,en,1,openai_paid,15771,36,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,IND,IND_P09,P09,D2,T5,en,0,openai_paid,12722,65,779,stop,1.0,1.0,0.5,0.5,1.0,1.0,0.8
gpt5_mini,IND,IND_P09,P09,D2,T5,en,1,openai_paid,15257,65,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,IND,IND_P10,P10,D1,T5,en,0,openai_paid,15911,54,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,IND,IND_P10,P10,D1,T5,en,1,openai_paid,16800,54,800,length,0.0,0.3,0.0,0.0,0.0,1.0,0.24
gpt5_mini,USA,USA_P01,P01,D1,T1,en,0,openai_paid,10396,49,606,stop,1.0,1.0,0.5,0.5,0.5,1.0,0.725
gpt5_mini,USA,USA_P01,P01,D1,T1,en,1,openai_paid,11543,49,553,stop,0.7751937984496123,0.7751937984496123,0.38759689922480617,0.38759689922480617,0.5,1.0,0.6125968992248062
gpt5_mini,USA,USA_P02,P02,D3,T1,en,0,openai_paid,14825,47,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,USA,USA_P02,P02,D3,T1,en,1,openai_paid,26182,47,800,length,0.0,0.0,0.0,0.0,0.5,1.0,0.22499999999999998
gpt5_mini,USA,USA_P03,P03,D1,T2,en,0,openai_paid,18801,46,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,USA,USA_P03,P03,D1,T2,en,1,openai_paid,13833,46,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,USA,USA_P04,P04,D2,T2,en,0,openai_paid,15678,62,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,USA,USA_P04,P04,D2,T2,en,1,openai_paid,13999,62,800,length,0.08000000000000002,0.356,0.08000000000000002,0.04000000000000001,0.5,1.0,0.3578
gpt5_mini,USA,USA_P05,P05,D1,T3,en,0,openai_paid,16049,47,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,USA,USA_P05,P05,D1,T3,en,1,openai_paid,14186,47,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,USA,USA_P06,P06,D3,T3,en,0,openai_paid,14294,50,800,length,0.12,0.384,0.12,0.06,0.5,1.0,0.3792
gpt5_mini,USA,USA_P06,P06,D3,T3,en,1,openai_paid,15722,50,757,stop,1.0,1.0,1.0,0.5,0.5,1.0,0.85
